iter	Accuracy	MultiClass
124	0.5699119716	0.905969516
125	0.5698739955	0.9058174985
126	0.570012608	0.9057161555
127	0.5700847625	0.9055417892
128	0.5701170421	0.90542985
129	0.5701872978	0.9053329008
130	0.570223375	0.905241721
131	0.570270845	0.9051683273
132	0.5702860355	0.9050357727
133	0.5702993271	0.9048541356
134	0.5703467971	0.9047919052
135	0.5703714815	0.9046231638
136	0.570491106	0.9044783753
137	0.5705043976	0.9043727281
138	0.5705841473	0.9042370557
139	0.5706430101	0.9041093725
140	0.5707132658	0.9039633964
141	0.5708252951	0.9038291724
142	0.5708120035	0.9037218846
143	0.5708822591	0.9036345212
144	0.5709183363	0.9035461814
145	0.5710607465	0.9034365084
146	0.5710968237	0.9032981102
147	0.5711253057	0.90321568
148	0.5711480913	0.9030837558
149	0.5712620194	0.9029962199
150	0.5713854415	0.9029242319
151	0.5714500008	0.9028070626
152	0.5714746852	0.9026531527
153	0.5714841792	0.9025754589
154	0.5714348103	0.9024795398
155	0.5715715241	0.90240989
156	0.5716398809	0.9023258044
157	0.5716474761	0.9022183253
158	0.571753809	0.9021413962
159	0.5717841898	0.9020649821
160	0.571791785	0.9019697045
161	0.5718696359	0.9018621054
162	0.5718848263	0.9017596874
163	0.5720139448	0.9016399731
164	0.5721088849	0.9015507929
165	0.5721905333	0.9014846042
166	0.5722569914	0.9014008854
167	0.5722493962	0.9013333062
168	0.5722854734	0.9012390035
169	0.5723158542	0.901164442
170	0.5723728183	0.9010917201
171	0.5724183895	0.901030892
172	0.5724354787	0.9009448473
173	0.5725152284	0.9008258339
174	0.5725532044	0.900759252
175	0.5726367517	0.9006708062
176	0.5727089061	0.9005767116
177	0.5726728289	0.9004831478
178	0.5727221977	0.9003895645
179	0.5727696678	0.900298722
180	0.5728076438	0.9002385105
181	0.5728418222	0.9001481293
182	0.5728475186	0.9000810391
183	0.5728987863	0.8999999555
184	0.5729576491	0.8999081099
185	0.5730051192	0.8998529355
186	0.5730089168	0.8997966376
187	0.5730506904	0.8996986369
188	0.5730487916	0.8995983056
189	0.5731589221	0.8995071325
190	0.5730905652	0.899456569
191	0.5730696784	0.8993972324
192	0.5731437317	0.8993485516
193	0.5731285413	0.8992507797
194	0.5731247437	0.8991852447
195	0.5731114521	0.8991083382
196	0.5731323389	0.8990482328
197	0.5731646185	0.8989944162
198	0.5732386718	0.89894168
199	0.5732367729	0.8988908553
200	0.5732690526	0.8988156233
201	0.573246267	0.8987588388
202	0.5733146238	0.8987005466
203	0.5733241178	0.8986519668
204	0.5733165226	0.898584824
205	0.5734266531	0.8985397778
206	0.5734361471	0.8984589199
207	0.5735177956	0.8984030762
208	0.5735405812	0.8983531033
209	0.5735500752	0.8982631972
210	0.5736013428	0.8981825981
211	0.5736602057	0.8981069029
212	0.5737589434	0.8980520826
213	0.5737475505	0.8979886446
214	0.573762741	0.8979301182
215	0.573867175	0.8978812331
216	0.5738538834	0.8978161528
217	0.5738519846	0.8977819886
218	0.5738994547	0.8977017485
219	0.5739241391	0.897635379
220	0.5738918595	0.8975597057
221	0.5739488235	0.8974896506
222	0.5739583175	0.8974153868
223	0.5739924959	0.8973336196
224	0.5740285732	0.8972656299
225	0.5741387037	0.8972163848
226	0.5741481977	0.8971774961
227	0.5742241497	0.8971197313
228	0.5742830126	0.8970631604
229	0.5742393401	0.8969939189
230	0.5743323814	0.8969116588
231	0.5742906078	0.8968833423
232	0.5742431377	0.896848306
233	0.5742754174	0.8967910807
234	0.5743285838	0.8967484753
235	0.5743152922	0.8966992639
236	0.574345673	0.8966537605
237	0.574393143	0.8965692828
238	0.5744007383	0.8965257843
239	0.5744311191	0.8964673956
240	0.5744292203	0.8963963431
241	0.5743893454	0.89633664
242	0.5744007383	0.8962867346
243	0.5744178275	0.8962308521
244	0.5744671963	0.8961687813
245	0.5745431484	0.8961405677
246	0.5745127675	0.8960960476
247	0.5745146663	0.8960112003
248	0.5745545412	0.8959677124
249	0.574575428	0.8959255911
250	0.5746077076	0.895861389
251	0.574622898	0.8958216584
252	0.5746798621	0.8957699872
